pid,eid,~json_qc,qc_behavior,qc_alignment_resolved,num_trials,qc_num_trials,priority_score
4dd3d15f-b59b-4403-85c0-417d41337f5d,fe80df7d-15f0-4f89-9bbb-d3e5725c4b0a,True,True,True,893.0,True,3.0
488d4bf8-9ae6-4bbe-9025-fcfdaec93efd,11cc0294-fbc5-44b7-8a2c-484daa64c81e,True,True,True,981.0,True,3.0
f8965106-8f4a-4910-81f6-f19d55878b4e,9b4f6a8d-c879-4348-aa7e-0b34f6c6dacb,True,True,True,753.0,True,3.0
383e12dc-4825-46f4-ac1d-8f3f6a6a1381,107249ca-0d03-4e56-a7eb-6fe6210550ae,True,True,True,442.0,True,3.0
797fd358-5778-4b9f-b037-2aeb2393b839,a5145869-a54a-4871-95ef-016421122844,True,True,True,768.0,True,3.0
e8f25a3a-ab3d-4e3e-a863-5014a2b7e440,5c936319-6829-41cb-abc7-c4430910a6a0,True,True,True,847.0,True,3.0
3d9db0eb-31a6-44a8-99de-6e04555d27be,a5145869-a54a-4871-95ef-016421122844,True,True,True,768.0,True,3.0
bf8bb47d-e7e4-4759-87f1-fe054407661b,78fceb60-e623-431b-ab80-7e29209058ac,True,True,True,737.0,True,3.0
96bfe790-37a6-45da-aa30-e271c9ce68e6,c94463ed-57da-4f02-8406-46f2f03924f3,True,True,True,807.0,True,3.0
7215243f-f336-4602-9521-6f9786d4decd,fe80df7d-15f0-4f89-9bbb-d3e5725c4b0a,True,True,True,893.0,True,3.0
bb4fbbf0-4d1e-4d0d-b348-2d7b7fddd151,a06189b0-a66e-4a5a-a1ef-4afa80de8b31,True,True,True,836.0,True,3.0
7f788d36-56dd-4ebc-863e-c22ec4f1a731,11cc0294-fbc5-44b7-8a2c-484daa64c81e,True,True,True,981.0,True,3.0
aebf71d2-408d-4901-a4e3-007cf61af8a0,89e258e9-cbca-4eca-bac4-13a2388b5113,True,True,True,580.0,True,3.0
9341b8f3-fa57-4fbb-9d0b-7ca3613da0cc,022dd14c-eff2-470f-863c-e019fafa53ae,True,True,True,410.0,True,3.0
32622302-ffef-412b-8773-4c7ef2a993bf,7ae3865a-d8f4-4b73-938e-ddaec33f8bc6,True,True,True,595.0,True,3.0
ee2ce090-696a-40f5-8f29-7107339bf08e,6f321eab-6dad-4f2e-8160-5b182f999bb6,True,True,True,465.0,True,3.0
c7b21911-7699-402c-badc-670f723a7e42,ba7fc4d0-0486-4415-9b12-3f13b1cff710,True,True,True,581.0,True,3.0
b9292b9f-cc04-4d2b-93c0-c0ad16e2b221,87b628a4-f11a-429c-ad98-34d43cf3178b,True,True,True,981.0,True,3.0
42fd1bb1-76b1-4227-9a74-925bcd28b9a0,7ae3865a-d8f4-4b73-938e-ddaec33f8bc6,True,True,True,595.0,True,3.0
5ce945a6-5b59-4d30-8be9-51f6e8280b43,804bc680-976b-4e3e-9a47-a7e94847bd06,True,True,True,702.0,True,3.0
7d5c4c4e-5c23-4a1d-a1ce-32cb79bbcc2a,93374502-c701-4b83-aa1a-23050b514708,True,True,True,760.0,True,3.0
c52c4943-e764-4a9d-a759-06aff36993f0,af74b29d-a671-4c22-a5e8-1e3d27e362f3,True,True,True,641.0,True,3.0
fa0dc413-1525-4178-89a8-3a093e08e2ce,0fe99726-9982-4c41-a07c-2cd7af6a6733,True,True,True,645.0,True,3.0
0bc568eb-feed-4d5d-86e2-edfdf84ed707,c90cdfa0-2945-4f68-8351-cb964c258725,True,True,True,659.0,True,3.0
58153f9d-08b5-4386-b1ad-715c3922a470,93374502-c701-4b83-aa1a-23050b514708,True,True,True,760.0,True,3.0
39e6c9a9-2241-4781-9ed6-db45979207e7,2cff323c-1510-4b78-a5d1-ca07b203f60c,True,True,True,472.0,True,3.0
8f4213bd-49ab-4421-bf1b-a1f8e6e1f37f,da9eeafc-d7af-4a19-bf1c-2064e5b1b696,True,True,True,828.0,True,3.0
278ce01a-2383-4a09-b74a-b8571ccbabad,804bc680-976b-4e3e-9a47-a7e94847bd06,True,True,True,702.0,True,3.0
556b57db-e4bd-456b-b0bf-d0ddc56603ff,531e7ac0-cfcd-4593-9bf7-bb7bab5d66e9,True,True,True,812.0,True,3.0
1edd8ae4-02bb-47ab-868c-1d5fad6256aa,f31752a8-a6bb-498b-8118-6339d3d74ecb,True,True,True,651.0,True,3.0
6c74c0f6-030d-4665-9e2e-799b1bcd3367,945028b5-bb38-4379-8ae4-488bcd67bcf5,True,True,True,869.0,True,3.0
770470e7-9e8c-40c0-b95b-33330c096ade,87b628a4-f11a-429c-ad98-34d43cf3178b,True,True,True,981.0,True,3.0
d7c474c8-168a-4ae3-a2d8-573ca8017708,af74b29d-a671-4c22-a5e8-1e3d27e362f3,True,True,True,641.0,True,3.0
34d7572f-7e3b-4d12-afc5-c26bd2dfde15,0fe99726-9982-4c41-a07c-2cd7af6a6733,True,True,True,645.0,True,3.0
253768e5-b649-4e49-944d-cc79d30b8f35,3a1b819b-71ef-4d71-aae6-9f83c1f509cb,True,True,True,1186.0,True,3.0
a089219a-c836-470a-91c7-d65617bfb82a,6f321eab-6dad-4f2e-8160-5b182f999bb6,True,True,True,465.0,True,3.0
fc93dc34-3329-475b-b779-1167482c86b7,f45e30cf-12aa-4fa0-8248-f9f885dfa9ef,True,True,True,798.0,True,3.0
7246e8f8-f694-488f-8ce8-5214975ffe9a,ab8a5331-1d0f-4b8a-9e0f-7be41c4857f9,True,True,True,834.0,True,3.0
